Edwards's Botanical Register, Appendix to Vols 1-23	Sketch Veg. Swan R.
Supplementum ad Methodum Plantas a Staminum situ Describendi. Marburgi Cattorum	Suppl. Meth. (Moench)
Methodus Plantas Horti Botanici et Agri Marburgensis, Suppl.	Suppl. Meth. (Moench)
Flora der deutschen Schutzgebiete in der Südsee	Fl. Schutzgeb. Südsee [Schumann & Lauterbach]
Die Flora der Deutschen Schutzgebiete in der Sudsee	Fl. Schutzgeb. Südsee [Schumann & Lauterbach]
Journal of the Faculty of Agriculture, Hokkaido Imperial University. Sapporo	J. Fac. Agric. Hokkaido Imp. Univ.
J. Fac. Agric., Sapporo	J. Fac. Agric. Hokkaido Imp. Univ.
Encyclopedie Methodique. Botanique	Encycl. [J. Lamarck & al.]
Encyclopedie Methodique. Botanique Suppl. 1	Encycl. [J. Lamarck & al.] Suppl. 1.
Encyclopedie Methodique. Botanique Suppl. 2	Encycl. [J. Lamarck & al.] Suppl. 2.
Encyclopedie Methodique. Botanique Suppl. 3	Encycl. [J. Lamarck & al.] Suppl. 3.
Encyclopedie Methodique. Botanique Suppl. 4	Encycl. [J. Lamarck & al.] Suppl. 4.
Encyclopedie Methodique. Botanique Suppl. 5	Encycl. [J. Lamarck & al.] Suppl. 5.
in L.D. Benson & R.A. Darrow, Trees & Shrubs of Southwest. Deserts (ed. 3)	Trees & Shrubs of Southw. Deserts
in West, Bidr. Ste-Croix	Bidr. Beskr. St° Croix
in Scott, Rep. Princeton Univ. Exped. Patag.	Rep. Princeton Univ. Exped. Patagonia, Botany
Edwards's Botanical Register - Appendix to Vols 1-23: A Sketch of the Vegetation of the Swan River Colony	Sketch Veg. Swan R.
Beitr deutsch holz Forstw	Beytr. Teut. Forstwiss.
Flora oder Allgemaine Botanische Zeitung	Flora
Silva N. Am.	Silva (Sargent)
Die Nat?rlichen Pflanzenfamilien 4(3b)	Nat. Pflanzenfam. [Engler & Prantl]
Naturaleza (Mexico City)	Pl. Nov. Hisp.
Anex. Mem. Inst. Butantan	Anexos Mem. Inst. Butantan, Secc. Bot.
Arch. sci. phys. & nat.	Arch. Sci. Phys. Nat.
Expedition into Central Australia	Bot. Sturt's Exped. Australia
Mem. Comision Limites	Mem. Comis. Limites [Teran & Berlandier]
On the Cultivation of the Plants Belonging to the Natural Order of Proteeae	Cult. Prot.
The Flora of British India 6	Fl. Brit. India [J. D. Hooker]
Junc.	Junc. Monogr. Sp.
Junci Generis Monographiae Specimen	Junc. Monogr. Sp.
Monographiae Phanerogamarum 1	Monogr. Phan. [A.DC. & C.DC.]
